country_code;year;country_name;avg_researchers_per_million;avg_percent_renewable
CAN;2000;Canada;3534,27;22,04
CAN;2001;Canada;3713,39;21,53
CAN;2002;Canada;3720,42;21,77
CAN;2003;Canada;3915,01;21,18
CAN;2004;Canada;4104,83;21,58
CAN;2005;Canada;4263,78;21,99
CAN;2006;Canada;4345,23;21,92
CAN;2007;Canada;4628,87;21,84
CAN;2008;Canada;4758,98;21,91
CAN;2009;Canada;4496,96;22,5
CAN;2010;Canada;4696,44;21,88
CAN;2011;Canada;4835,43;21,84
CAN;2012;Canada;4683,61;22,17
CAN;2013;Canada;4678,26;22,44
CAN;2014;Canada;4593,94;22,49
CAN;2015;Canada;4575,35;22,69
CAN;2016;Canada;4428,73;22,05
CAN;2017;Canada;4459,45;22,47
CAN;2018;Canada;4749,13;21,99
CAN;2019;Canada;4884,82;22,11
DEU;2000;Germany;3161,71;3,7
DEU;2001;Germany;3242,33;3,9
DEU;2002;Germany;3262,00;4,41
DEU;2003;Germany;3303,98;5,44
DEU;2004;Germany;3323,92;6,34
DEU;2005;Germany;3349,96;7,28
DEU;2006;Germany;3446,71;8,59
DEU;2007;Germany;3583,24;10,47
DEU;2008;Germany;3727,24;10,25
DEU;2009;Germany;3905,90;10,72
DEU;2010;Germany;4035,21;11,61
DEU;2011;Germany;4162,50;12,54
DEU;2012;Germany;4325,22;13,64
DEU;2013;Germany;4343,32;13,63
DEU;2014;Germany;4304,87;14,02
DEU;2015;Germany;4733,36;14,55
DEU;2016;Germany;4862,63;14,24
DEU;2017;Germany;5087,25;15,22
DEU;2018;Germany;5239,97;16,12
DEU;2019;Germany;5428,22;17,17
ITA;2000;Italy;1160,83;5,12
ITA;2001;Italy;1170,58;5,38
ITA;2002;Italy;1249,69;5,6
ITA;2003;Italy;1229,43;6,24
ITA;2004;Italy;1249,27;5,94
ITA;2005;Italy;1420,31;6,7
ITA;2006;Italy;1516,24;7,51
ITA;2007;Italy;1588,71;8,73
ITA;2008;Italy;1622,64;10,82
ITA;2009;Italy;1713,62;12,54
ITA;2010;Italy;1732,52;12,79
ITA;2011;Italy;1770,69;11,9
ITA;2012;Italy;1841,75;14,39
ITA;2013;Italy;1927,15;16,32
ITA;2014;Italy;1958,36;17,13
ITA;2015;Italy;2087,56;16,57
ITA;2016;Italy;2222,21;16,09
ITA;2017;Italy;2336,94;16,43
ITA;2018;Italy;2541,04;17,08
ITA;2019;Italy;2688,65;17,27
JPN;2000;Japan;5112,48;3,7
JPN;2001;Japan;5144,22;3,5
JPN;2002;Japan;4898,51;3,71
JPN;2003;Japan;5120,04;4,19
JPN;2004;Japan;5123,81;4,26
JPN;2005;Japan;5327,72;4,02
JPN;2006;Japan;5357,18;4,43
JPN;2007;Japan;5347,84;4,29
JPN;2008;Japan;5128,17;4,44
JPN;2009;Japan;5117,22;4,51
JPN;2010;Japan;5119,99;4,66
JPN;2011;Japan;5126,90;4,82
JPN;2012;Japan;5052,15;4,68
JPN;2013;Japan;5169,26;5,05
JPN;2014;Japan;5352,76;5,58
JPN;2015;Japan;5198,10;6,16
JPN;2016;Japan;5235,16;6,39
JPN;2017;Japan;5331,27;6,92
JPN;2018;Japan;5361,97;7,22
JPN;2019;Japan;5409,54;7,69
NZL;2001;New Zealand;2670,81;27,13
NZL;2003;New Zealand;3102,24;28,35
NZL;2005;New Zealand;3161,06;29,46
NZL;2007;New Zealand;3474,11;29,35
NZL;2009;New Zealand;3761,68;30,56
NZL;2011;New Zealand;3732,62;32,65
NZL;2013;New Zealand;4045,25;30,36
NZL;2015;New Zealand;5492,04;31,24
NZL;2017;New Zealand;5098,76;30,22
NZL;2019;New Zealand;5724,13;29,65
USA;2000;United States;3478,85;5,43
USA;2001;United States;3515,52;4,68
USA;2002;United States;3561,08;4,84
USA;2003;United States;3762,66;5,33
USA;2004;United States;3622,87;5,48
USA;2005;United States;3546,11;5,84
USA;2006;United States;3583,58;6,4
USA;2007;United States;3531,84;6,3
USA;2008;United States;3658,60;6,85
USA;2009;United States;3782,78;7,35
USA;2010;United States;3546,00;7,44
USA;2011;United States;3660,46;8,36
USA;2012;United States;3646,51;8,73
USA;2013;United States;3732,65;9,08
USA;2014;United States;3834,54;9,22
USA;2015;United States;3873,31;9,03
USA;2016;United States;3829,67;9,46
USA;2017;United States;3957,69;9,92
USA;2018;United States;4260,58;10,12
USA;2019;United States;4306,71;10,42
ZAF;2001;South Africa;301,62;15,62
ZAF;2003;South Africa;295,11;13,05
ZAF;2004;South Africa;370,71;12,29
ZAF;2005;South Africa;354,66;10,98
ZAF;2006;South Africa;377,14;10,74
ZAF;2007;South Africa;388,45;10,36
ZAF;2008;South Africa;385,71;11,55
ZAF;2009;South Africa;389,05;10,97
ZAF;2010;South Africa;363,73;11,77
ZAF;2011;South Africa;386,05;11,36
ZAF;2012;South Africa;405,11;10,6
ZAF;2013;South Africa;436,31;9,77
ZAF;2014;South Africa;434,59;9,85
ZAF;2015;South Africa;473,73;10,28
ZAF;2016;South Africa;489,20;10,53
ZAF;2017;South Africa;524,15;10,45
ZAF;2018;South Africa;510,97;10,19
ZAF;2019;South Africa;491,41;10,5