year;avg_researchers_per_million_global;;;;;;;;
2000;1798,223994;;;;;;;;
2001;2014,690862;;;;;;;;
2002;1868,657304;;;;;;;;
2003;2040,152202;;;;;;;;
2004;2165,852332;;;;;;;;
2005;2345,758178;;;;;;;;
2006;2425,669283;;;;;;;;
2007;2373,353104;;;;;;;;
2008;2437,619531;;;;;;;;
2009;2482,530732;;;;;;;;
2010;2478,742644;;;;;;;;
2011;2595,24019;;;;;;;;
2012;2563,86818;;;;;;;;
2013;2713,046028;;;;;;;;
2014;2698,012434;;;;;;;;
2015;2778,345847;;;;;;;;
2016;2787,991499;;;;;;;;
2017;3002,290043;;;;;;;;
2018;3066,588077;;;;;;;;
2019;3217,683725;;;;;;;;
2020;3230,199335;;;;;;;;
2021;3467,264215;;;;;;;;FORMATO VALORI ASSE X?
2022;3931,550845;;;;;;;;